TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
5495,SANTIAGO CITY,"CAD 211, BBM # 1",25786.82,17180.58,,,,
5496,SANTIAGO CITY,"CAD 211, BBM # 10",28802.17,28619.81,,,,
5497,SANTIAGO CITY,"CAD 211, BBM # 11",26138.52,25824.96,,,,
5498,SANTIAGO CITY,"CAD 211, BBM # 12",25111.04,24192.08,,,,
5500,SANTIAGO CITY,"CAD 211, BBM # 14",24378.18,20526.28,,,,
5501,SANTIAGO CITY,"CAD 211, BBM # 15",27461.78,24274.58,,,,
5502,SANTIAGO CITY,"CAD 211, BBM # 16",28838.48,24465.2,,,,
5504,SANTIAGO CITY,"CAD 211, BBM # 18",30101.46,23812.71,,,,
5505,SANTIAGO CITY,"CAD 211, BBM # 19",31362.92,23926.83,,,,
5506,SANTIAGO CITY,"CAD 211, BBM # 2",29469.01,18109.27,,,,
5507,SANTIAGO CITY,"CAD 211, BBM # 20",30160.04,26887.46,,,,
5508,SANTIAGO CITY,"CAD 211, BBM # 21",30471.18,28084.6,,,,
5509,SANTIAGO CITY,"CAD 211, BBM # 22",29806.14,26744.08,,,,
5514,SANTIAGO CITY,"CAD 211, BBM # 27",20455.06,29854.99,,,,
5515,SANTIAGO CITY,"CAD 211, BBM # 28",45395.57,23920.02,,,,
5517,SANTIAGO CITY,"CAD 211, BBM # 3",31914.99,18699.67,,,,
5518,SANTIAGO CITY,"CAD 211, BBM # 30",45637.52,27841.47,,,,
5519,SANTIAGO CITY,"CAD 211, BBM # 31",44397.26,28370.84,,,,
5520,SANTIAGO CITY,"CAD 211, BBM # 32",24937.07,16528.51,,,,
5522,SANTIAGO CITY,"CAD 211, BBM # 34",13820.58,29351.41,,,,
5525,SANTIAGO CITY,"CAD 211, BBM # 37",49485.5,29741.61,,,,
5527,SANTIAGO CITY,"CAD 211, BBM # 39",51978.06,31975.3,,,,
